Ch,AziCorr(deg),Dist(m),Rfl,Azi(deg),Ele(deg),t(us),x(m),y(m),z(m),
12,0.00,0.000,0,7.20,0.00,1911,0.000,0.000,0.000,
13,0.00,0.000,0,7.20,0.00,1911,0.000,0.000,0.000,
14,0.00,0.000,0,7.20,0.00,1911,0.000,0.000,0.000,
12,0.00,0.000,0,7.20,0.00,1911,0.000,0.000,0.000,
13,0.00,0.000,0,7.20,0.00,1911,0.000,0.000,0.000,
14,0.00,0.000,0,7.20,0.00,1911,0.000,0.000,0.000,
12,0.00,0.000,0,7.38,0.00,1911,0.000,0.000,0.000,
13,0.00,0.000,0,7.38,0.00,1911,0.000,0.000,0.000,
14,0.00,0.000,0,7.38,0.00,1911,0.000,0.000,0.000,
12,0.00,0.000,0,7.38,0.00,1911,0.000,0.000,0.000,
13,0.00,0.000,0,7.38,0.00,1911,0.000,0.000,0.000,
14,0.00,0.000,0,7.38,0.00,1911,0.000,0.000,0.000,
12,0.00,0.000,0,7.56,0.00,1911,0.000,0.000,0.000,
13,0.00,0.000,0,7.56,0.00,1911,0.000,0.000,0.000,
14,0.00,0.000,0,7.56,0.00,1911,0.000,0.000,0.000,
12,0.00,0.000,0,7.56,0.00,1911,0.000,0.000,0.000,
13,0.00,0.000,0,7.56,0.00,1911,0.000,0.000,0.000,
14,0.00,0.000,0,7.56,0.00,1911,0.000,0.000,0.000,
12,0.00,0.000,0,7.74,0.00,1911,0.000,0.000,0.000,
13,0.00,0.000,0,7.74,0.00,1911,0.000,0.000,0.000,
14,0.00,0.000,0,7.74,0.00,1911,0.000,0.000,0.000,
12,0.00,0.000,0,7.74,0.00,1911,0.000,0.000,0.000,
13,0.00,0.000,0,7.74,0.00,1911,0.000,0.000,0.000,
14,0.00,0.000,0,7.74,0.00,1911,0.000,0.000,0.000,
12,0.00,0.000,0,7.92,0.00,2111,0.000,0.000,0.000,
13,0.00,0.000,0,7.92,0.00,2111,0.000,0.000,0.000,
14,0.00,0.000,0,7.92,0.00,2111,0.000,0.000,0.000,
12,0.00,0.000,0,7.92,0.00,2111,0.000,0.000,0.000,
13,0.00,0.000,0,7.92,0.00,2111,0.000,0.000,0.000,
14,0.00,0.000,0,7.92,0.00,2111,0.000,0.000,0.000,
12,0.00,0.000,0,8.10,0.00,2111,0.000,0.000,0.000,
13,0.00,0.000,0,8.10,0.00,2111,0.000,0.000,0.000,
14,0.00,0.000,0,8.10,0.00,2111,0.000,0.000,0.000,
12,0.00,0.000,0,8.10,0.00,2111,0.000,0.000,0.000,
13,0.00,0.000,0,8.10,0.00,2111,0.000,0.000,0.000,
14,0.00,0.000,0,8.10,0.00,2111,0.000,0.000,0.000,
12,0.00,0.000,0,8.28,0.00,2111,0.000,0.000,0.000,
13,0.00,0.000,0,8.28,0.00,2111,0.000,0.000,0.000,
14,0.00,0.000,0,8.28,0.00,2111,0.000,0.000,0.000,
12,0.00,0.000,0,8.28,0.00,2111,0.000,0.000,0.000,
13,0.00,0.000,0,8.28,0.00,2111,0.000,0.000,0.000,
14,0.00,0.000,0,8.28,0.00,2111,0.000,0.000,0.000,
13,0.00,0.000,0,8.46,0.00,2111,0.000,0.000,0.000,
14,0.00,0.000,0,8.46,0.00,2111,0.000,0.000,0.000,
13,0.00,0.000,0,8.46,0.00,2111,0.000,0.000,0.000,
14,0.00,0.000,0,8.46,0.00,2111,0.000,0.000,0.000,
13,0.00,0.000,0,8.64,0.00,2311,0.000,0.000,0.000,
14,0.00,0.000,0,8.64,0.00,2311,0.000,0.000,0.000,
13,0.00,0.000,0,8.64,0.00,2311,0.000,0.000,0.000,
14,0.00,0.000,0,8.64,0.00,2311,0.000,0.000,0.000,
13,0.00,0.000,0,8.82,0.00,2311,0.000,0.000,0.000,
14,0.00,0.000,0,8.82,0.00,2311,0.000,0.000,0.000,
13,0.00,0.000,0,8.82,0.00,2311,0.000,0.000,0.000,
14,0.00,0.000,0,8.82,0.00,2311,0.000,0.000,0.000,
13,0.00,0.000,0,9.00,0.00,2311,0.000,0.000,0.000,
14,0.00,0.000,0,9.00,0.00,2311,0.000,0.000,0.000,
13,0.00,0.000,0,9.00,0.00,2311,0.000,0.000,0.000,
14,0.00,0.000,0,9.00,0.00,2311,0.000,0.000,0.000,
13,0.00,0.000,0,9.18,0.00,2311,0.000,0.000,0.000,
14,0.00,0.000,0,9.18,0.00,2311,0.000,0.000,0.000,
13,0.00,0.000,0,9.18,0.00,2311,0.000,0.000,0.000,
14,0.00,0.000,0,9.18,0.00,2311,0.000,0.000,0.000,
13,0.00,0.000,0,9.36,0.00,2511,0.000,0.000,0.000,
14,0.00,0.000,0,9.36,0.00,2511,0.000,0.000,0.000,
13,0.00,0.000,0,9.36,0.00,2511,0.000,0.000,0.000,
14,0.00,0.000,0,9.36,0.00,2511,0.000,0.000,0.000,
13,0.00,0.000,0,9.54,0.00,2511,0.000,0.000,0.000,
14,0.00,0.000,0,9.54,0.00,2511,0.000,0.000,0.000,
13,0.00,0.000,0,9.54,0.00,2511,0.000,0.000,0.000,
